source_pubkey,source_alias,target_pubkey,target_alias,capacity_sats,fee_base_msat,fee_rate_ppm,max_htlc_sats,cltv_delta,disabled,source_last_update,target_last_update,source_channels,target_channels,source_total_cap,target_total_cap
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,5000000,1000,1000,4950000,144,0,1780159483,1780169216,8,10,75000000,25900000
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,0,1,1980000,80,0,1780150496,1780169216,11,10,724400126,25900000
030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,2000000,1000,1,1980000,80,0,1780169216,1780089783,10,6,25900000,8200000
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,1000,10,1980000,6,0,1750061027,1780169216,10,10,133525022,25900000
030e1b7b312d0d1478d3477acfeb857081953c73ae8fbfea1225605a98db12967c,lnd.testnet4.lnmarkets.com,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,1000,1,1980000,80,0,1780169216,1780169216,4,10,243000042,25900000
02d2b0666c54b9b27a2900398c6a5cce4b7c67aee76848fe8b0a6657fdf31641d1,htlcdevel-bob,03206d7390d0e6bcc927f2cd32e021bc4c11081adadb51526994dccffa6f67efd3,htlcdevel-testnet,80000,1000,1,79200,80,0,1780142767,1780143077,1,1,80000,80000
03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,2000000,1000,500,1980000,144,0,1780140912,1780089783,7,6,33486654,8200000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1000000,1000,1,990000,80,0,1780164254,1780089783,25,6,263426937,8200000
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1000000,1,500,990000,80,0,1780089371,1780089783,11,6,33174232,8200000
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1200000,0,1,1188000,80,0,1780150496,1780089783,11,6,724400126,8200000
030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,400000,1000,1,396000,80,0,1780169216,1780170950,10,4,25900000,2100000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,500000,1000,1,495000,80,0,1780164254,1780170950,25,4,263426937,2100000
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,1000000,0,1,990000,80,0,1780150496,1780170950,11,4,724400126,2100000
023a6dedb320ed414ebdd9c04b1608e80208fb892cd927c8257ada35c23e91cb8c,SLICKERCHIPMUNK-v25.05,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,200000,1,10,198000,6,0,1754500591,1780170950,2,4,221000,2100000
